
    Unsigned integers (first 200)
Number     Hex             Bytes           Decoded    Bin
549755813886           49             7          11100000 11111001 11111111 11111111 11111111 11111111 00000001
549755813887           50             7          00100000 00000010 00000000 00000000 00000000 00000000 00000000
1099511627774          50             7          00100000 11111010 11111111 11111111 11111111 11111111 00000011
1099511627775          51             7          01100000 00000010 00000000 00000000 00000000 00000000 00000000
2199023255550          51             7          01100000 11111010 11111111 11111111 11111111 11111111 00000111
2199023255551          52             7          10100000 00000010 00000000 00000000 00000000 00000000 00000000
4398046511102          52             7          10100000 11111010 11111111 11111111 11111111 11111111 00001111
4398046511103          53             7          11100000 00000010 00000000 00000000 00000000 00000000 00000000
8796093022206          53             7          11100000 11111010 11111111 11111111 11111111 11111111 00011111
8796093022207          54             7          00100000 00000011 00000000 00000000 00000000 00000000 00000000
17592186044414         54             7          00100000 11111011 11111111 11111111 11111111 11111111 00111111
17592186044415         55             7          01100000 00000011 00000000 00000000 00000000 00000000 00000000
35184372088830         55             7          01100000 11111011 11111111 11111111 11111111 11111111 01111111
35184372088831         56             7          10100000 00000011 00000000 00000000 00000000 00000000 00000000
70368744177662         56             7          10100000 11111011 11111111 11111111 11111111 11111111 11111111
70368744177663         57             8          11100000 00000011 00000000 00000000 00000000 00000000 00000000 00000000
140737488355326        57             8          11100000 11111011 11111111 11111111 11111111 11111111 11111111 00000001
140737488355327        58             8          00100000 00000100 00000000 00000000 00000000 00000000 00000000 00000000
281474976710654        58             8          00100000 11111100 11111111 11111111 11111111 11111111 11111111 00000011
281474976710655        59             8          01100000 00000100 00000000 00000000 00000000 00000000 00000000 00000000
562949953421310        59             8          01100000 11111100 11111111 11111111 11111111 11111111 11111111 00000111
562949953421311        60             8          10100000 00000100 00000000 00000000 00000000 00000000 00000000 00000000
1125899906842622       60             8          10100000 11111100 11111111 11111111 11111111 11111111 11111111 00001111
1125899906842623       61             8          11100000 00000100 00000000 00000000 00000000 00000000 00000000 00000000
2251799813685246       61             8          11100000 11111100 11111111 11111111 11111111 11111111 11111111 00011111
2251799813685247       62             8          00100000 00000101 00000000 00000000 00000000 00000000 00000000 00000000
4503599627370494       62             8          00100000 11111101 11111111 11111111 11111111 11111111 11111111 00111111
4503599627370495       63             8          01100000 00000101 00000000 00000000 00000000 00000000 00000000 00000000
9007199254740990       63             8          01100000 11111101 11111111 11111111 11111111 11111111 11111111 01111111
9007199254740991       64             8          10100000 00000101 00000000 00000000 00000000 00000000 00000000 00000000
18014398509481982      64             8          10100000 11111101 11111111 11111111 11111111 11111111 11111111 11111111
18014398509481983      65             9          11100000 00000101 00000000 00000000 00000000 00000000 00000000 00000000 00000000
36028797018963966      65             9          11100000 11111101 11111111 11111111 11111111 11111111 11111111 11111111 00000001
36028797018963967      66             9          00100000 00000110 00000000 00000000 00000000 00000000 00000000 00000000 00000000
72057594037927934      66             9          00100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00000011
72057594037927935      67             9          01100000 00000110 00000000 00000000 00000000 00000000 00000000 00000000 00000000
144115188075855870     67             9          01100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00000111
144115188075855871     68             9          10100000 00000110 00000000 00000000 00000000 00000000 00000000 00000000 00000000
288230376151711742     68             9          10100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00001111
288230376151711743     69             9          11100000 00000110 00000000 00000000 00000000 00000000 00000000 00000000 00000000
576460752303423486     69             9          11100000 11111110 11111111 11111111 11111111 11111111 11111111 11111111 00011111
576460752303423487     70             9          00100000 00000111 00000000 00000000 00000000 00000000 00000000 00000000 00000000
1152921504606846974    70             9          00100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00111111
1152921504606846975    71             9          01100000 00000111 00000000 00000000 00000000 00000000 00000000 00000000 00000000
2305843009213693950    71             9          01100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 01111111
2305843009213693951    72             9          10100000 00000111 00000000 00000000 00000000 00000000 00000000 00000000 00000000
4611686018427387902    72             9          10100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
4611686018427387903    73             10         11100000 00000111 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
9223372036854775806    73             10         11100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00000001
9223372036854775807    76             10         01000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
18446744073709551614   76             10         01000000 11100000 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00001111
18446744073709551615   77             10         11000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000

Boundary length transition spot checks
Random bulk test
Encoded 500 values -> 2495 bytes (avg 4.99)
Signed mapping test
All tests passed (LSB-tail delta variant).
