
=== Single numbers ===                                                           |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
[127]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[128]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[129]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[130]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[131]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[132]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[133]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[134]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[135]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[136]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[137]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[138]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[139]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[140]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[141]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[142]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[143]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[144]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[145]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[146]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[147]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[148]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[149]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[150]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     

=== Single numbers exponential ===                                               |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[0]                                                                              :     1      :     1      :     1      :     1      :     1      :     1     
[1]                                                                              :     1      :     1      :     1      :     1      :     1      :     1     
[3]                                                                              :     1      :     1      :     1      :     1      :     1      :     1     
[7]                                                                              :     1      :     1      :     1      :     1      :     1      :     1     
[15]                                                                             :     1      :     1      :     1      :     1      :     2      :     1     
[31]                                                                             :     1      :     1      :     1      :     1      :     2      :     2     
[63]                                                                             :     1      :     1      :     1      :     2      :     2      :     2     
[127]                                                                            :     2      :     1      :     2      :     2      :     2      :     2     
[255]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[511]                                                                            :     2      :     2      :     2      :     2      :     2      :     2     
[1023]                                                                           :     2      :     2      :     2      :     2      :     3      :     2     
[2047]                                                                           :     2      :     2      :     2      :     2      :     3      :     3     
[4095]                                                                           :     2      :     2      :     2      :     2      :     3      :     3     
[8191]                                                                           :     2      :     2      :     3      :     3      :     3      :     3     
[16383]                                                                          :     3      :     2      :     3      :     3      :     3      :     3     
[32767]                                                                          :     3      :     3      :     3      :     3      :     3      :     3     
[65535]                                                                          :     3      :     3      :     3      :     3      :     4      :     3     
[131071]                                                                         :     4      :     3      :     3      :     3      :     4      :     4     
[262143]                                                                         :     4      :     3      :     3      :     3      :     4      :     4     
[524287]                                                                         :     4      :     3      :     4      :     3      :     4      :     4     
[1048575]                                                                        :     4      :     3      :     4      :     4      :     4      :     4     
[2097151]                                                                        :     4      :     3      :     4      :     4      :     4      :     4     
[4194303]                                                                        :     4      :     4      :     4      :     4      :     4      :     4     
[8388607]                                                                        :     4      :     4      :     4      :     4      :     4      :     4     
[16777215]                                                                       :     4      :     4      :     4      :     4      :     5      :     4     
[33554431]                                                                       :     5      :     4      :     5      :     5      :     5      :     5     
[67108863]                                                                       :     5      :     4      :     5      :     5      :     5      :     5     
[134217727]                                                                      :     5      :     4      :     5      :     5      :     5      :     5     
[268435455]                                                                      :     5      :     4      :     5      :     5      :     5      :     5     
[536870911]                                                                      :     5      :     5      :     5      :     5      :     5      :     5     
[1073741823]                                                                     :     5      :     5      :     5      :     5      :     5      :     5     
[2147483647]                                                                     :     5      :     5      :     6      :     5      :     6      :     5     
[4294967295]                                                                     :     5      :     5      :     6      :     5      :     6      :     6     
[8589934591]                                                                     :     6      :     5      :     6      :     6      :     6      :     6     
[17179869183]                                                                    :     6      :     5      :     6      :     6      :     6      :     6     
[34359738367]                                                                    :     6      :     5      :     6      :     6      :     6      :     6     
[68719476735]                                                                    :     6      :     6      :     6      :     6      :     6      :     6     
[137438953471]                                                                   :     6      :     6      :     7      :     6      :     6      :     6     
[274877906943]                                                                   :     6      :     6      :     7      :     6      :     7      :     6     
[549755813887]                                                                   :     6      :     6      :     7      :     6      :     7      :     7     
[1099511627775]                                                                  :     6      :     6      :     7      :     6      :     7      :     7     
[2199023255551]                                                                  :     7      :     6      :     7      :     7      :     7      :     7     
[4398046511103]                                                                  :     7      :     6      :     7      :     7      :     7      :     7     
[8796093022207]                                                                  :     7      :     7      :     8      :     7      :     7      :     7     
[17592186044415]                                                                 :     7      :     7      :     8      :     7      :     7      :     7     
[35184372088831]                                                                 :     7      :     7      :     8      :     7      :     7      :     7     
[70368744177663]                                                                 :     7      :     7      :     8      :     7      :     8      :     7     
[140737488355327]                                                                :     7      :     7      :     8      :     7      :     8      :     8     
[281474976710655]                                                                :     7      :     7      :     8      :     7      :     8      :     8     
[562949953421311]                                                                :     8      :     7      :     9      :     8      :     8      :     8     
[1125899906842623]                                                               :     8      :     8      :     9      :     8      :     8      :     8     
[2251799813685247]                                                               :     8      :     8      :     9      :     8      :     8      :     8     
[4503599627370495]                                                               :     8      :     8      :     9      :     8      :     8      :     8     
[9007199254740991]                                                               :     8      :     8      :     9      :     8      :     8      :     8     
[18014398509481983]                                                              :     8      :     8      :     9      :     8      :     9      :     8     
[36028797018963967]                                                              :     8      :     8      :    10      :     8      :     9      :     9     
[72057594037927935]                                                              :     8      :     8      :    10      :     8      :     9      :     9     
[144115188075855871]                                                             :     9      :     9      :    10      :     9      :     9      :     9     
[288230376151711743]                                                             :     9      :     9      :    10      :     9      :     9      :     9     
[576460752303423487]                                                             :     9      :     9      :    10      :     9      :     9      :     9     
[1152921504606846975]                                                            :     9      :     9      :    10      :     9      :     9      :     9     
[2305843009213693951]                                                            :     9      :     9      :    11      :     9      :     9      :     9     
[4611686018427387903]                                                            :     9      :     9      :    11      :     9      :    10      :     9     
[9223372036854775807]                                                            :     9      :     9      :    11      :     9      :    10      :    10     
[18446744073709551615]                                                           :     9      :    10      :    11      :     9      :    10      :    10     

=== 4 numbers exponential ===                                                    |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0]                                                                     :     4      :     4      :     2      :     1      :     1      :     1     
[1, 1, 1, 1]                                                                     :     4      :     4      :     2      :     1      :     2      :     1     
[3, 3, 3, 3]                                                                     :     4      :     4      :     2      :     2      :     3      :     2     
[7, 7, 7, 7]                                                                     :     4      :     4      :     2      :     4      :     4      :     3     
[15, 15, 15, 15]                                                                 :     4      :     4      :     4      :     4      :     5      :     4     
[31, 31, 31, 31]                                                                 :     4      :     4      :     4      :     4      :     5      :     5     
[63, 63, 63, 63]                                                                 :     4      :     4      :     4      :     8      :     6      :     5     
[127, 127, 127, 127]                                                             :     8      :     4      :     6      :     8      :     7      :     6     
[255, 255, 255, 255]                                                             :     8      :     8      :     6      :     8      :     8      :     7     
[511, 511, 511, 511]                                                             :     8      :     8      :     6      :     8      :     8      :     8     
[1023, 1023, 1023, 1023]                                                         :     8      :     8      :     8      :     8      :     9      :     8     
[2047, 2047, 2047, 2047]                                                         :     8      :     8      :     8      :     8      :     9      :     9     
[4095, 4095, 4095, 4095]                                                         :     8      :     8      :     8      :     8      :    10      :     9     
[8191, 8191, 8191, 8191]                                                         :     8      :     8      :    10      :    12      :    10      :    10     
