
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
Number     Hex                  Bin                  Decoded Value       
-100       ff 01                11111111 00000001    -100                
-99        fd 01                11111101 00000001    -99                 
-98        fb 01                11111011 00000001    -98                 
-97        f9 01                11111001 00000001    -97                 
-96        ef 01                11101111 00000001    -96                 
-95        ed 01                11101101 00000001    -95                 
-94        eb 01                11101011 00000001    -94                 
-93        e9 01                11101001 00000001    -93                 
-92        df 01                11011111 00000001    -92                 
-91        dd 01                11011101 00000001    -91                 
-90        db 01                11011011 00000001    -90                 
-89        d9 01                11011001 00000001    -89                 
-88        cf 01                11001111 00000001    -88                 
-87        cd 01                11001101 00000001    -87                 
-86        cb 01                11001011 00000001    -86                 
-85        c9 01                11001001 00000001    -85                 
-84        bf 01                10111111 00000001    -84                 
-83        bd 01                10111101 00000001    -83                 
-82        bb 01                10111011 00000001    -82                 
-81        b9 01                10111001 00000001    -81                 
-80        af 01                10101111 00000001    -80                 
-79        ad 01                10101101 00000001    -79                 
-78        ab 01                10101011 00000001    -78                 
-77        a9 01                10101001 00000001    -77                 
-76        9f 01                10011111 00000001    -76                 
-75        9d 01                10011101 00000001    -75                 
-74        9b 01                10011011 00000001    -74                 
-73        99 01                10011001 00000001    -73                 
-72        8f 01                10001111 00000001    -72                 
-71        8d 01                10001101 00000001    -71                 
-70        8b 01                10001011 00000001    -70                 
-69        89 01                10001001 00000001    -69                 
-68        ff 00                11111111 00000000    -68                 
-67        fd 00                11111101 00000000    -67                 
-66        fb 00                11111011 00000000    -66                 
-65        f9 00                11111001 00000000    -65                 
-64        ef 00                11101111 00000000    -64                 
-63        ed 00                11101101 00000000    -63                 
-62        eb 00                11101011 00000000    -62                 
-61        e9 00                11101001 00000000    -61                 
-60        df 00                11011111 00000000    -60                 
-59        dd 00                11011101 00000000    -59                 
-58        db 00                11011011 00000000    -58                 
-57        d9 00                11011001 00000000    -57                 
-56        cf 00                11001111 00000000    -56                 
-55        cd 00                11001101 00000000    -55                 
-54        cb 00                11001011 00000000    -54                 
-53        c9 00                11001001 00000000    -53                 
-52        bf 00                10111111 00000000    -52                 
-51        bd 00                10111101 00000000    -51                 
-50        bb 00                10111011 00000000    -50                 
-49        b9 00                10111001 00000000    -49                 
-48        af 00                10101111 00000000    -48                 
-47        ad 00                10101101 00000000    -47                 
-46        ab 00                10101011 00000000    -46                 
-45        a9 00                10101001 00000000    -45                 
-44        9f 00                10011111 00000000    -44                 
-43        9d 00                10011101 00000000    -43                 
-42        9b 00                10011011 00000000    -42                 
-41        99 00                10011001 00000000    -41                 
-40        8f 00                10001111 00000000    -40                 
-39        8d 00                10001101 00000000    -39                 
-38        8b 00                10001011 00000000    -38                 
-37        89 00                10001001 00000000    -37                 
-36        7f                   01111111             -36                 
-35        7d                   01111101             -35                 
-34        7b                   01111011             -34                 
-33        79                   01111001             -33                 
-32        6f                   01101111             -32                 
-31        6d                   01101101             -31                 
-30        6b                   01101011             -30                 
-29        69                   01101001             -29                 
-28        5f                   01011111             -28                 
-27        5d                   01011101             -27                 
-26        5b                   01011011             -26                 
-25        59                   01011001             -25                 
-24        4f                   01001111             -24                 
-23        4d                   01001101             -23                 
-22        4b                   01001011             -22                 
-21        49                   01001001             -21                 
-20        3f                   00111111             -20                 
-19        3d                   00111101             -19                 
-18        3b                   00111011             -18                 
-17        39                   00111001             -17                 
-16        2f                   00101111             -16                 
-15        2d                   00101101             -15                 
-14        2b                   00101011             -14                 
-13        29                   00101001             -13                 
-12        1f                   00011111             -12                 
-11        1d                   00011101             -11                 
-10        1b                   00011011             -10                 
-9         19                   00011001             -9                  
-8         0f                   00001111             -8                  
-7         0d                   00001101             -7                  
-6         0b                   00001011             -6                  
-5         09                   00001001             -5                  
-4         07                   00000111             -4                  
-3         05                   00000101             -3                  
-2         03                   00000011             -2                  
-1         01                   00000001             -1                  
0          00                   00000000             0                   
1          02                   00000010             1                   
2          04                   00000100             2                   
3          06                   00000110             3                   
4          08                   00001000             4                   
5          0a                   00001010             5                   
6          0c                   00001100             6                   
7          0e                   00001110             7                   
8          18                   00011000             8                   
9          1a                   00011010             9                   
10         1c                   00011100             10                  
11         1e                   00011110             11                  
12         28                   00101000             12                  
13         2a                   00101010             13                  
14         2c                   00101100             14                  
15         2e                   00101110             15                  
16         38                   00111000             16                  
17         3a                   00111010             17                  
18         3c                   00111100             18                  
19         3e                   00111110             19                  
20         48                   01001000             20                  
21         4a                   01001010             21                  
22         4c                   01001100             22                  
23         4e                   01001110             23                  
24         58                   01011000             24                  
25         5a                   01011010             25                  
26         5c                   01011100             26                  
27         5e                   01011110             27                  
28         68                   01101000             28                  
29         6a                   01101010             29                  
30         6c                   01101100             30                  
31         6e                   01101110             31                  
32         78                   01111000             32                  
33         7a                   01111010             33                  
34         7c                   01111100             34                  
35         7e                   01111110             35                  
36         88 00                10001000 00000000    36                  
37         8a 00                10001010 00000000    37                  
38         8c 00                10001100 00000000    38                  
39         8e 00                10001110 00000000    39                  
40         98 00                10011000 00000000    40                  
41         9a 00                10011010 00000000    41                  
42         9c 00                10011100 00000000    42                  
43         9e 00                10011110 00000000    43                  
44         a8 00                10101000 00000000    44                  
45         aa 00                10101010 00000000    45                  
46         ac 00                10101100 00000000    46                  
47         ae 00                10101110 00000000    47                  
48         b8 00                10111000 00000000    48                  
49         ba 00                10111010 00000000    49                  
50         bc 00                10111100 00000000    50                  
51         be 00                10111110 00000000    51                  
52         c8 00                11001000 00000000    52                  
53         ca 00                11001010 00000000    53                  
54         cc 00                11001100 00000000    54                  
55         ce 00                11001110 00000000    55                  
56         d8 00                11011000 00000000    56                  
57         da 00                11011010 00000000    57                  
58         dc 00                11011100 00000000    58                  
59         de 00                11011110 00000000    59                  
60         e8 00                11101000 00000000    60                  
61         ea 00                11101010 00000000    61                  
62         ec 00                11101100 00000000    62                  
63         ee 00                11101110 00000000    63                  
64         f8 00                11111000 00000000    64                  
65         fa 00                11111010 00000000    65                  
66         fc 00                11111100 00000000    66                  
67         fe 00                11111110 00000000    67                  
68         88 01                10001000 00000001    68                  
69         8a 01                10001010 00000001    69                  
70         8c 01                10001100 00000001    70                  
71         8e 01                10001110 00000001    71                  
72         98 01                10011000 00000001    72                  
73         9a 01                10011010 00000001    73                  
74         9c 01                10011100 00000001    74                  
75         9e 01                10011110 00000001    75                  
76         a8 01                10101000 00000001    76                  
77         aa 01                10101010 00000001    77                  
78         ac 01                10101100 00000001    78                  
79         ae 01                10101110 00000001    79                  
80         b8 01                10111000 00000001    80                  
81         ba 01                10111010 00000001    81                  
82         bc 01                10111100 00000001    82                  
83         be 01                10111110 00000001    83                  
84         c8 01                11001000 00000001    84                  
85         ca 01                11001010 00000001    85                  
86         cc 01                11001100 00000001    86                  
87         ce 01                11001110 00000001    87                  
88         d8 01                11011000 00000001    88                  
89         da 01                11011010 00000001    89                  
90         dc 01                11011100 00000001    90                  
91         de 01                11011110 00000001    91                  
92         e8 01                11101000 00000001    92                  
93         ea 01                11101010 00000001    93                  
94         ec 01                11101100 00000001    94                  
95         ee 01                11101110 00000001    95                  
96         f8 01                11111000 00000001    96                  
97         fa 01                11111010 00000001    97                  
98         fc 01                11111100 00000001    98                  
99         fe 01                11111110 00000001    99                  
100        88 02                10001000 00000010    100                 

    Unsigned integers (exponent)
Number     Hex                                      Bin                                                               Decoded
1          01                                       00000001                                                          1
2          02                                       00000010                                                          2
4          04                                       00000100                                                          4
8          08                                       00001000                                                          8
16         18                                       00011000                                                          16
32         38                                       00111000                                                          32
64         78                                       01111000                                                          64
128        f8 00                                    11111000 00000000                                                 128
256        f8 02                                    11111000 00000010                                                 256
512        f8 06                                    11111000 00000110                                                 512
1024       f8 0e                                    11111000 00001110                                                 1024
2048       f8 2e                                    11111000 00101110                                                 2048
4096       f8 6e                                    11111000 01101110                                                 4096
8192       f8 ee 00                                 11111000 11101110 00000000                                        8192
16384      f8 ee 02                                 11111000 11101110 00000010                                        16384
32768      f8 ee 06                                 11111000 11101110 00000110                                        32768
65536      f8 ee 0e                                 11111000 11101110 00001110                                        65536
131072     f8 ee 2e                                 11111000 11101110 00101110                                        131072
262144     f8 ee 6e                                 11111000 11101110 01101110                                        262144
524288     f8 ee ee 00                              11111000 11101110 11101110 00000000                               524288
1048576    f8 ee ee 02                              11111000 11101110 11101110 00000010                               1048576
2097152    f8 ee ee 06                              11111000 11101110 11101110 00000110                               2097152
4194304    f8 ee ee 0e                              11111000 11101110 11101110 00001110                               4194304
8388608    f8 ee ee 2e                              11111000 11101110 11101110 00101110                               8388608
16777216   f8 ee ee 6e                              11111000 11101110 11101110 01101110                               16777216
33554432   f8 ee ee ee 00                           11111000 11101110 11101110 11101110 00000000                      33554432
67108864   f8 ee ee ee 02                           11111000 11101110 11101110 11101110 00000010                      67108864
134217728  f8 ee ee ee 06                           11111000 11101110 11101110 11101110 00000110                      134217728
268435456  f8 ee ee ee 0e                           11111000 11101110 11101110 11101110 00001110                      268435456
536870912  f8 ee ee ee 2e                           11111000 11101110 11101110 11101110 00101110                      536870912
