
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
-340       a7 05                10100111 00000101    -340                
-330       93 05                10010011 00000101    -330                
-320       ff 04                11111111 00000100    -320                
-310       eb 04                11101011 00000100    -310                
-300       d7 04                11010111 00000100    -300                
-290       c3 04                11000011 00000100    -290                
-280       af 04                10101111 00000100    -280                
-270       9b 04                10011011 00000100    -270                
-260       87 04                10000111 00000100    -260                
-250       f3 03                11110011 00000011    -250                
-240       df 03                11011111 00000011    -240                
-230       cb 03                11001011 00000011    -230                
-220       b7 03                10110111 00000011    -220                
-210       a3 03                10100011 00000011    -210                
-200       8f 03                10001111 00000011    -200                
-190       fb 02                11111011 00000010    -190                
-180       e7 02                11100111 00000010    -180                
-170       d3 02                11010011 00000010    -170                
-160       bf 02                10111111 00000010    -160                
-150       ab 02                10101011 00000010    -150                
-140       97 02                10010111 00000010    -140                
-130       83 02                10000011 00000010    -130                
-120       ef 01                11101111 00000001    -120                
-110       db 01                11011011 00000001    -110                
-100       c7 01                11000111 00000001    -100                
-90        b3 01                10110011 00000001    -90                 
-80        9f 01                10011111 00000001    -80                 
-70        8b 01                10001011 00000001    -70                 
-60        77                   01110111             -60                 
-50        63                   01100011             -50                 
-40        4f                   01001111             -40                 
-30        3b                   00111011             -30                 
-20        27                   00100111             -20                 
-10        13                   00010011             -10                 
0          00                   00000000             0                   
10         14                   00010100             10                  
20         28                   00101000             20                  
30         3c                   00111100             30                  
40         50                   01010000             40                  
50         64                   01100100             50                  
60         78                   01111000             60                  
70         8c 01                10001100 00000001    70                  
80         a0 01                10100000 00000001    80                  
90         b4 01                10110100 00000001    90                  
100        c8 01                11001000 00000001    100                 
110        dc 01                11011100 00000001    110                 
120        f0 01                11110000 00000001    120                 
130        84 02                10000100 00000010    130                 
140        98 02                10011000 00000010    140                 
150        ac 02                10101100 00000010    150                 
160        c0 02                11000000 00000010    160                 
170        d4 02                11010100 00000010    170                 
180        e8 02                11101000 00000010    180                 
190        fc 02                11111100 00000010    190                 
200        90 03                10010000 00000011    200                 
210        a4 03                10100100 00000011    210                 
220        b8 03                10111000 00000011    220                 
230        cc 03                11001100 00000011    230                 
240        e0 03                11100000 00000011    240                 
250        f4 03                11110100 00000011    250                 
260        88 04                10001000 00000100    260                 
270        9c 04                10011100 00000100    270                 
280        b0 04                10110000 00000100    280                 
290        c4 04                11000100 00000100    290                 
300        d8 04                11011000 00000100    300                 
310        ec 04                11101100 00000100    310                 
320        80 05                10000000 00000101    320                 
330        94 05                10010100 00000101    330                 
340        a8 05                10101000 00000101    340                 
350        bc 05                10111100 00000101    350                 
360        d0 05                11010000 00000101    360                 
370        e4 05                11100100 00000101    370                 
380        f8 05                11111000 00000101    380                 
390        8c 06                10001100 00000110    390                 
400        a0 06                10100000 00000110    400                 
410        b4 06                10110100 00000110    410                 
420        c8 06                11001000 00000110    420                 
430        dc 06                11011100 00000110    430                 
440        f0 06                11110000 00000110    440                 
450        84 07                10000100 00000111    450                 
460        98 07                10011000 00000111    460                 
470        ac 07                10101100 00000111    470                 
480        c0 07                11000000 00000111    480                 
490        d4 07                11010100 00000111    490                 
500        e8 07                11101000 00000111    500                 
510        fc 07                11111100 00000111    510                 
520        90 08                10010000 00001000    520                 
530        a4 08                10100100 00001000    530                 
540        b8 08                10111000 00001000    540                 
550        cc 08                11001100 00001000    550                 
560        e0 08                11100000 00001000    560                 
570        f4 08                11110100 00001000    570                 
580        88 09                10001000 00001001    580                 
590        9c 09                10011100 00001001    590                 
600        b0 09                10110000 00001001    600                 
610        c4 09                11000100 00001001    610                 
620        d8 09                11011000 00001001    620                 
630        ec 09                11101100 00001001    630                 
640        80 0a                10000000 00001010    640                 
650        94 0a                10010100 00001010    650                 
660        a8 0a                10101000 00001010    660                 
670        bc 0a                10111100 00001010    670                 
680        d0 0a                11010000 00001010    680                 
690        e4 0a                11100100 00001010    690                 
700        f8 0a                11111000 00001010    700                 
710        8c 0b                10001100 00001011    710                 
720        a0 0b                10100000 00001011    720                 
730        b4 0b                10110100 00001011    730                 
740        c8 0b                11001000 00001011    740                 
750        dc 0b                11011100 00001011    750                 
760        f0 0b                11110000 00001011    760                 
770        84 0c                10000100 00001100    770                 
780        98 0c                10011000 00001100    780                 
790        ac 0c                10101100 00001100    790                 
800        c0 0c                11000000 00001100    800                 
810        d4 0c                11010100 00001100    810                 
820        e8 0c                11101000 00001100    820                 
830        fc 0c                11111100 00001100    830                 
840        90 0d                10010000 00001101    840                 
850        a4 0d                10100100 00001101    850                 
860        b8 0d                10111000 00001101    860                 
870        cc 0d                11001100 00001101    870                 
880        e0 0d                11100000 00001101    880                 
890        f4 0d                11110100 00001101    890                 
900        88 0e                10001000 00001110    900                 
910        9c 0e                10011100 00001110    910                 
920        b0 0e                10110000 00001110    920                 
930        c4 0e                11000100 00001110    930                 
940        d8 0e                11011000 00001110    940                 
950        ec 0e                11101100 00001110    950                 
960        80 0f                10000000 00001111    960                 
970        94 0f                10010100 00001111    970                 
980        a8 0f                10101000 00001111    980                 
990        bc 0f                10111100 00001111    990                 
1000       d0 0f                11010000 00001111    1000                

    Unsigned integers (exponent)
Number     Hex                                      Bin                                                               Decoded
1          01                                       00000001                                                          1
2          02                                       00000010                                                          2
4          04                                       00000100                                                          4
8          08                                       00001000                                                          8
16         10                                       00010000                                                          16
32         20                                       00100000                                                          32
64         40                                       01000000                                                          64
128        80 01                                    10000000 00000001                                                 128
256        80 02                                    10000000 00000010                                                 256
512        80 04                                    10000000 00000100                                                 512
1024       80 08                                    10000000 00001000                                                 1024
2048       80 10                                    10000000 00010000                                                 2048
4096       80 20                                    10000000 00100000                                                 4096
8192       80 40                                    10000000 01000000                                                 8192
16384      80 80 01                                 10000000 10000000 00000001                                        16384
32768      80 80 02                                 10000000 10000000 00000010                                        32768
65536      80 80 04                                 10000000 10000000 00000100                                        65536
131072     80 80 08                                 10000000 10000000 00001000                                        131072
262144     80 80 10                                 10000000 10000000 00010000                                        262144
524288     80 80 20                                 10000000 10000000 00100000                                        524288
1048576    80 80 40                                 10000000 10000000 01000000                                        1048576
2097152    80 80 80 01                              10000000 10000000 10000000 00000001                               2097152
4194304    80 80 80 02                              10000000 10000000 10000000 00000010                               4194304
8388608    80 80 80 04                              10000000 10000000 10000000 00000100                               8388608
16777216   80 80 80 08                              10000000 10000000 10000000 00001000                               16777216
33554432   80 80 80 10                              10000000 10000000 10000000 00010000                               33554432
67108864   80 80 80 20                              10000000 10000000 10000000 00100000                               67108864
134217728  80 80 80 40                              10000000 10000000 10000000 01000000                               134217728
268435456  80 80 80 80 01                           10000000 10000000 10000000 10000000 00000001                      268435456
536870912  80 80 80 80 02                           10000000 10000000 10000000 10000000 00000010                      536870912
1073741824 80 80 80 80 04                           10000000 10000000 10000000 10000000 00000100                      1073741824
2147483648 80 80 80 80 08                           10000000 10000000 10000000 10000000 00001000                      2147483648
