
    Unsigned integers (first 200)
Number     Hex             Bytes           Decoded    Bin
197        bd 11           bd 11           197        10111101 00010001
198        fd 11           fd 11           198        11111101 00010001
199        3d 12           3d 12           199        00111101 00010010

Boundary tests around powers of two (v = 2^k - 1 and +/- neighbors)

    Powers of two boundaries (v=2^k-1)
v                      logical_bits   len(bytes) Bin
0                      1              1          00000000
1                      3              1          00000001
2                      3              1          00000011
3                      6              1          00000101
4                      6              1          00001101
6                      6              1          00011101
7                      7              1          00000111
8                      7              1          00001111
14                     7              1          00111111
15                     11             2          00100101 00000000
16                     11             2          01100101 00000000
30                     11             2          11100101 00000011
31                     12             2          00101101 00000000
32                     12             2          01101101 00000000
62                     12             2          11101101 00000111
63                     13             2          00110101 00000000
64                     13             2          01110101 00000000
126                    13             2          11110101 00001111
127                    14             2          00111101 00000000
128                    14             2          01111101 00000000
254                    14             2          11111101 00011111
255                    16             2          01000111 00000000
256                    16             2          11000111 00000000
510                    16             2          11000111 01111111
511                    17             3          01001111 00000000 00000000
512                    17             3          11001111 00000000 00000000
1022                   17             3          11001111 11111111 00000000
1023                   18             3          01010111 00000000 00000000
1024                   18             3          11010111 00000000 00000000
2046                   18             3          11010111 11111111 00000001
2047                   19             3          01011111 00000000 00000000
2048                   19             3          11011111 00000000 00000000
4094                   19             3          11011111 11111111 00000011
4095                   20             3          01100111 00000000 00000000
4096                   20             3          11100111 00000000 00000000
8190                   20             3          11100111 11111111 00000111
8191                   21             3          01101111 00000000 00000000
8192                   21             3          11101111 00000000 00000000
16382                  21             3          11101111 11111111 00001111
16383                  22             3          01110111 00000000 00000000
16384                  22             3          11110111 00000000 00000000
32766                  22             3          11110111 11111111 00011111
32767                  23             3          01111111 00000000 00000000
32768                  23             3          11111111 00000000 00000000
65534                  23             3          11111111 11111111 00111111
65535                  28             4          00100101 00000100 00000000 00000000
65536                  28             4          00100101 00001100 00000000 00000000
131070                 28             4          00100101 11111100 11111111 00000111
131071                 29             4          01100101 00000100 00000000 00000000
131072                 29             4          01100101 00001100 00000000 00000000
262142                 29             4          01100101 11111100 11111111 00001111
262143                 30             4          10100101 00000100 00000000 00000000
262144                 30             4          10100101 00001100 00000000 00000000
524286                 30             4          10100101 11111100 11111111 00011111
524287                 31             4          11100101 00000100 00000000 00000000
524288                 31             4          11100101 00001100 00000000 00000000
1048574                31             4          11100101 11111100 11111111 00111111
1048575                32             4          00100101 00000101 00000000 00000000
1048576                32             4          00100101 00001101 00000000 00000000
2097150                32             4          00100101 11111101 11111111 01111111
2097151                33             5          01100101 00000101 00000000 00000000 00000000
2097152                33             5          01100101 00001101 00000000 00000000 00000000
4194302                33             5          01100101 11111101 11111111 11111111 00000000
4194303                34             5          10100101 00000101 00000000 00000000 00000000
4194304                34             5          10100101 00001101 00000000 00000000 00000000
8388606                34             5          10100101 11111101 11111111 11111111 00000001
8388607                35             5          11100101 00000101 00000000 00000000 00000000
8388608                35             5          11100101 00001101 00000000 00000000 00000000
16777214               35             5          11100101 11111101 11111111 11111111 00000011
16777215               36             5          00100101 00000110 00000000 00000000 00000000
16777216               36             5          00100101 00001110 00000000 00000000 00000000
33554430               36             5          00100101 11111110 11111111 11111111 00000111
33554431               37             5          01100101 00000110 00000000 00000000 00000000
33554432               37             5          01100101 00001110 00000000 00000000 00000000
67108862               37             5          01100101 11111110 11111111 11111111 00001111
67108863               38             5          10100101 00000110 00000000 00000000 00000000
67108864               38             5          10100101 00001110 00000000 00000000 00000000
134217726              38             5          10100101 11111110 11111111 11111111 00011111
134217727              39             5          11100101 00000110 00000000 00000000 00000000
134217728              39             5          11100101 00001110 00000000 00000000 00000000
268435454              39             5          11100101 11111110 11111111 11111111 00111111
268435455              40             5          00100101 00000111 00000000 00000000 00000000
268435456              40             5          00100101 00001111 00000000 00000000 00000000
536870910              40             5          00100101 11111111 11111111 11111111 01111111
536870911              41             6          01100101 00000111 00000000 00000000 00000000 00000000
536870912              41             6          01100101 00001111 00000000 00000000 00000000 00000000
1073741822             41             6          01100101 11111111 11111111 11111111 11111111 00000000
1073741823             42             6          10100101 00000111 00000000 00000000 00000000 00000000
1073741824             42             6          10100101 00001111 00000000 00000000 00000000 00000000
2147483646             42             6          10100101 11111111 11111111 11111111 11111111 00000001
2147483647             43             6          11100101 00000111 00000000 00000000 00000000 00000000
2147483648             43             6          11100101 00001111 00000000 00000000 00000000 00000000
4294967294             43             6          11100101 11111111 11111111 11111111 11111111 00000011
4294967295             45             6          00101101 00001000 00000000 00000000 00000000 00000000
4294967296             45             6          00101101 00011000 00000000 00000000 00000000 00000000
8589934590             45             6          00101101 11111000 11111111 11111111 11111111 00001111
8589934591             46             6          01101101 00001000 00000000 00000000 00000000 00000000
8589934592             46             6          01101101 00011000 00000000 00000000 00000000 00000000
17179869182            46             6          01101101 11111000 11111111 11111111 11111111 00011111
17179869183            47             6          10101101 00001000 00000000 00000000 00000000 00000000
Boundary sample count: 190

Random spot checks
Random bulk array test
Encoded 400 values -> 2102 bytes (avg 5.25)
Signed mapping test (zigzag)
All tests passed (LSB-tail omega variant).
