
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
-820       3d 0c                00111101 00001100    -820                
-810       3d 16                00111101 00010110    -810                
-800       3d 20                00111101 00100000    -800                
-790       3d 2a                00111101 00101010    -790                
-780       3d 34                00111101 00110100    -780                
-770       3d 3e                00111101 00111110    -770                
-760       3d 48                00111101 01001000    -760                
-750       3d 52                00111101 01010010    -750                
-740       3d 5c                00111101 01011100    -740                
-730       3d 66                00111101 01100110    -730                
-720       3d 70                00111101 01110000    -720                
-710       3d 7a                00111101 01111010    -710                
-700       3d 84                00111101 10000100    -700                
-690       3d 8e                00111101 10001110    -690                
-680       3d 98                00111101 10011000    -680                
-670       3d a2                00111101 10100010    -670                
-660       3d ac                00111101 10101100    -660                
-650       3d b6                00111101 10110110    -650                
-640       3d c0                00111101 11000000    -640                
-630       3d ca                00111101 11001010    -630                
-620       3d d4                00111101 11010100    -620                
-610       3d de                00111101 11011110    -610                
-600       3d e8                00111101 11101000    -600                
-590       3d f2                00111101 11110010    -590                
-580       3d fc                00111101 11111100    -580                
-570       3e 06                00111110 00000110    -570                
-560       3e 10                00111110 00010000    -560                
-550       3e 1a                00111110 00011010    -550                
-540       3e 24                00111110 00100100    -540                
-530       3e 2e                00111110 00101110    -530                
-520       3e 38                00111110 00111000    -520                
-510       3e 42                00111110 01000010    -510                
-500       3e 4c                00111110 01001100    -500                
-490       3e 56                00111110 01010110    -490                
-480       3e 60                00111110 01100000    -480                
-470       3e 6a                00111110 01101010    -470                
-460       3e 74                00111110 01110100    -460                
-450       3e 7e                00111110 01111110    -450                
-440       3e 88                00111110 10001000    -440                
-430       3e 92                00111110 10010010    -430                
-420       3e 9c                00111110 10011100    -420                
-410       3e a6                00111110 10100110    -410                
-400       3e b0                00111110 10110000    -400                
-390       3e ba                00111110 10111010    -390                
-380       3e c4                00111110 11000100    -380                
-370       3e ce                00111110 11001110    -370                
-360       3e d8                00111110 11011000    -360                
-350       3e e2                00111110 11100010    -350                
-340       3e ec                00111110 11101100    -340                
-330       3e f6                00111110 11110110    -330                
-320       3f 00                00111111 00000000    -320                
-310       3f 0a                00111111 00001010    -310                
-300       3f 14                00111111 00010100    -300                
-290       3f 1e                00111111 00011110    -290                
-280       3f 28                00111111 00101000    -280                
-270       3f 32                00111111 00110010    -270                
-260       3f 3c                00111111 00111100    -260                
-250       3f 46                00111111 01000110    -250                
-240       3f 50                00111111 01010000    -240                
-230       3f 5a                00111111 01011010    -230                
-220       3f 64                00111111 01100100    -220                
-210       3f 6e                00111111 01101110    -210                
-200       3f 78                00111111 01111000    -200                
-190       3f 82                00111111 10000010    -190                
-180       3f 8c                00111111 10001100    -180                
-170       3f 96                00111111 10010110    -170                
-160       3f a0                00111111 10100000    -160                
-150       3f aa                00111111 10101010    -150                
-140       3f b4                00111111 10110100    -140                
-130       3f be                00111111 10111110    -130                
-120       3f c8                00111111 11001000    -120                
-110       3f d2                00111111 11010010    -110                
-100       3f dc                00111111 11011100    -100                
-90        3f e6                00111111 11100110    -90                 
-80        3f f0                00111111 11110000    -80                 
-70        3f fa                00111111 11111010    -70                 
-60        44                   01000100             -60                 
-50        4e                   01001110             -50                 
-40        58                   01011000             -40                 
-30        62                   01100010             -30                 
-20        6c                   01101100             -20                 
-10        76                   01110110             -10                 
0          80                   10000000             0                   
10         8a                   10001010             10                  
20         94                   10010100             20                  
30         9e                   10011110             30                  
40         a8                   10101000             40                  
50         b2                   10110010             50                  
60         bc                   10111100             60                  
70         c0 06                11000000 00000110    70                  
80         c0 10                11000000 00010000    80                  
90         c0 1a                11000000 00011010    90                  
100        c0 24                11000000 00100100    100                 
110        c0 2e                11000000 00101110    110                 
120        c0 38                11000000 00111000    120                 
130        c0 42                11000000 01000010    130                 
140        c0 4c                11000000 01001100    140                 
150        c0 56                11000000 01010110    150                 
160        c0 60                11000000 01100000    160                 
170        c0 6a                11000000 01101010    170                 
180        c0 74                11000000 01110100    180                 
190        c0 7e                11000000 01111110    190                 
200        c0 88                11000000 10001000    200                 
210        c0 92                11000000 10010010    210                 
220        c0 9c                11000000 10011100    220                 
230        c0 a6                11000000 10100110    230                 
240        c0 b0                11000000 10110000    240                 
250        c0 ba                11000000 10111010    250                 
260        c0 c4                11000000 11000100    260                 
270        c0 ce                11000000 11001110    270                 
280        c0 d8                11000000 11011000    280                 
290        c0 e2                11000000 11100010    290                 
300        c0 ec                11000000 11101100    300                 
310        c0 f6                11000000 11110110    310                 
320        c1 00                11000001 00000000    320                 
330        c1 0a                11000001 00001010    330                 
340        c1 14                11000001 00010100    340                 
350        c1 1e                11000001 00011110    350                 
360        c1 28                11000001 00101000    360                 
370        c1 32                11000001 00110010    370                 
380        c1 3c                11000001 00111100    380                 
390        c1 46                11000001 01000110    390                 
400        c1 50                11000001 01010000    400                 
410        c1 5a                11000001 01011010    410                 
420        c1 64                11000001 01100100    420                 
430        c1 6e                11000001 01101110    430                 
440        c1 78                11000001 01111000    440                 
450        c1 82                11000001 10000010    450                 
460        c1 8c                11000001 10001100    460                 
470        c1 96                11000001 10010110    470                 
480        c1 a0                11000001 10100000    480                 
490        c1 aa                11000001 10101010    490                 
500        c1 b4                11000001 10110100    500                 
510        c1 be                11000001 10111110    510                 
520        c1 c8                11000001 11001000    520                 
530        c1 d2                11000001 11010010    530                 
540        c1 dc                11000001 11011100    540                 
550        c1 e6                11000001 11100110    550                 
560        c1 f0                11000001 11110000    560                 
570        c1 fa                11000001 11111010    570                 
580        c2 04                11000010 00000100    580                 
590        c2 0e                11000010 00001110    590                 
600        c2 18                11000010 00011000    600                 
610        c2 22                11000010 00100010    610                 
620        c2 2c                11000010 00101100    620                 
630        c2 36                11000010 00110110    630                 
640        c2 40                11000010 01000000    640                 
650        c2 4a                11000010 01001010    650                 
660        c2 54                11000010 01010100    660                 
670        c2 5e                11000010 01011110    670                 
680        c2 68                11000010 01101000    680                 
690        c2 72                11000010 01110010    690                 
700        c2 7c                11000010 01111100    700                 
710        c2 86                11000010 10000110    710                 
720        c2 90                11000010 10010000    720                 
730        c2 9a                11000010 10011010    730                 
740        c2 a4                11000010 10100100    740                 
750        c2 ae                11000010 10101110    750                 
760        c2 b8                11000010 10111000    760                 
770        c2 c2                11000010 11000010    770                 
780        c2 cc                11000010 11001100    780                 
790        c2 d6                11000010 11010110    790                 
800        c2 e0                11000010 11100000    800                 
810        c2 ea                11000010 11101010    810                 
820        c2 f4                11000010 11110100    820                 
830        c2 fe                11000010 11111110    830                 
840        c3 08                11000011 00001000    840                 
850        c3 12                11000011 00010010    850                 
860        c3 1c                11000011 00011100    860                 
870        c3 26                11000011 00100110    870                 
880        c3 30                11000011 00110000    880                 
890        c3 3a                11000011 00111010    890                 
900        c3 44                11000011 01000100    900                 
910        c3 4e                11000011 01001110    910                 
920        c3 58                11000011 01011000    920                 
930        c3 62                11000011 01100010    930                 
940        c3 6c                11000011 01101100    940                 
950        c3 76                11000011 01110110    950                 
960        c3 80                11000011 10000000    960                 
970        c3 8a                11000011 10001010    970                 
980        c3 94                11000011 10010100    980                 
990        c3 9e                11000011 10011110    990                 
1000       c3 a8                11000011 10101000    1000                

    Unsigned integers (exponent)
Number     Hex                                      Bin                                                               Decoded
1          81                                       10000001                                                          1
2          82                                       10000010                                                          2
4          84                                       10000100                                                          4
8          88                                       10001000                                                          8
16         90                                       10010000                                                          16
32         a0                                       10100000                                                          32
64         c0 00                                    11000000 00000000                                                 64
128        c0 40                                    11000000 01000000                                                 128
256        c0 c0                                    11000000 11000000                                                 256
512        c1 c0                                    11000001 11000000                                                 512
1024       c3 c0                                    11000011 11000000                                                 1024
2048       c7 c0                                    11000111 11000000                                                 2048
4096       cf c0                                    11001111 11000000                                                 4096
8192       df c0                                    11011111 11000000                                                 8192
16384      e2 1f c0                                 11100010 00011111 11000000                                        16384
32768      e2 5f c0                                 11100010 01011111 11000000                                        32768
65536      e2 df c0                                 11100010 11011111 11000000                                        65536
131072     e3 01 df c0                              11100011 00000001 11011111 11000000                               131072
262144     e3 03 df c0                              11100011 00000011 11011111 11000000                               262144
524288     e3 07 df c0                              11100011 00000111 11011111 11000000                               524288
1048576    e3 0f df c0                              11100011 00001111 11011111 11000000                               1048576
2097152    e3 1f df c0                              11100011 00011111 11011111 11000000                               2097152
4194304    e3 3f df c0                              11100011 00111111 11011111 11000000                               4194304
8388608    e3 7f df c0                              11100011 01111111 11011111 11000000                               8388608
16777216   e3 ff df c0                              11100011 11111111 11011111 11000000                               16777216
33554432   e4 01 ff df c0                           11100100 00000001 11111111 11011111 11000000                      33554432
67108864   e4 03 ff df c0                           11100100 00000011 11111111 11011111 11000000                      67108864
134217728  e4 07 ff df c0                           11100100 00000111 11111111 11011111 11000000                      134217728
268435456  e4 0f ff df c0                           11100100 00001111 11111111 11011111 11000000                      268435456
536870912  e4 1f ff df c0                           11100100 00011111 11111111 11011111 11000000                      536870912
1073741824 e4 3f ff df c0                           11100100 00111111 11111111 11011111 11000000                      1073741824
2147483648 e4 7f ff df c0                           11100100 01111111 11111111 11011111 11000000                      2147483648
4294967296 e4 ff ff df c0                           11100100 11111111 11111111 11011111 11000000                      4294967296
8589934592 e5 01 ff ff df c0                        11100101 00000001 11111111 11111111 11011111 11000000             8589934592
17179869184 e5 03 ff ff df c0                        11100101 00000011 11111111 11111111 11011111 11000000             17179869184
34359738368 e5 07 ff ff df c0                        11100101 00000111 11111111 11111111 11011111 11000000             34359738368
68719476736 e5 0f ff ff df c0                        11100101 00001111 11111111 11111111 11011111 11000000             68719476736
137438953472 e5 1f ff ff df c0                        11100101 00011111 11111111 11111111 11011111 11000000             137438953472
274877906944 e5 3f ff ff df c0                        11100101 00111111 11111111 11111111 11011111 11000000             274877906944
549755813888 e5 7f ff ff df c0                        11100101 01111111 11111111 11111111 11011111 11000000             549755813888
1099511627776 e5 ff ff ff df c0                        11100101 11111111 11111111 11111111 11011111 11000000             1099511627776
2199023255552 e6 01 ff ff ff df c0                     11100110 00000001 11111111 11111111 11111111 11011111 11000000    2199023255552
4398046511104 e6 03 ff ff ff df c0                     11100110 00000011 11111111 11111111 11111111 11011111 11000000    4398046511104
8796093022208 e6 07 ff ff ff df c0                     11100110 00000111 11111111 11111111 11111111 11011111 11000000    8796093022208
17592186044416 e6 0f ff ff ff df c0                     11100110 00001111 11111111 11111111 11111111 11011111 11000000    17592186044416
35184372088832 e6 1f ff ff ff df c0                     11100110 00011111 11111111 11111111 11111111 11011111 11000000    35184372088832
70368744177664 e6 3f ff ff ff df c0                     11100110 00111111 11111111 11111111 11111111 11011111 11000000    70368744177664
140737488355328 e6 7f ff ff ff df c0                     11100110 01111111 11111111 11111111 11111111 11011111 11000000    140737488355328
281474976710656 e6 ff ff ff ff df c0                     11100110 11111111 11111111 11111111 11111111 11011111 11000000    281474976710656
562949953421312 e7 01 ff ff ff ff df c0                  11100111 00000001 11111111 11111111 11111111 11111111 11011111 11000000  562949953421312
1125899906842624 e7 03 ff ff ff ff df c0                  11100111 00000011 11111111 11111111 11111111 11111111 11011111 11000000  1125899906842624
2251799813685248 e7 07 ff ff ff ff df c0                  11100111 00000111 11111111 11111111 11111111 11111111 11011111 11000000  2251799813685248
4503599627370496 e7 0f ff ff ff ff df c0                  11100111 00001111 11111111 11111111 11111111 11111111 11011111 11000000  4503599627370496
9007199254740992 e7 1f ff ff ff ff df c0                  11100111 00011111 11111111 11111111 11111111 11111111 11011111 11000000  9007199254740992
18014398509481984 e7 3f ff ff ff ff df c0                  11100111 00111111 11111111 11111111 11111111 11111111 11011111 11000000  18014398509481984
36028797018963968 e7 7f ff ff ff ff df c0                  11100111 01111111 11111111 11111111 11111111 11111111 11011111 11000000  36028797018963968
72057594037927936 e7 ff ff ff ff ff df c0                  11100111 11111111 11111111 11111111 11111111 11111111 11011111 11000000  72057594037927936
144115188075855872 e8 01 ff ff ff ff ff df c0               11101000 00000001 11111111 11111111 11111111 11111111 11111111 11011111 11000000  144115188075855872
288230376151711744 e8 03 ff ff ff ff ff df c0               11101000 00000011 11111111 11111111 11111111 11111111 11111111 11011111 11000000  288230376151711744
576460752303423488 e8 07 ff ff ff ff ff df c0               11101000 00000111 11111111 11111111 11111111 11111111 11111111 11011111 11000000  576460752303423488
1152921504606846976 e8 0f ff ff ff ff ff df c0               11101000 00001111 11111111 11111111 11111111 11111111 11111111 11011111 11000000  1152921504606846976
2305843009213693952 e8 1f ff ff ff ff ff df c0               11101000 00011111 11111111 11111111 11111111 11111111 11111111 11011111 11000000  2305843009213693952
4611686018427387904 e8 3f ff ff ff ff ff df c0               11101000 00111111 11111111 11111111 11111111 11111111 11111111 11011111 11000000  4611686018427387904
9223372036854775808 e8 7f ff ff ff ff ff df c0               11101000 01111111 11111111 11111111 11111111 11111111 11111111 11011111 11000000  9223372036854775808
18446744073709551615 e8 ff ff ff ff ff ff df bf               11101000 11111111 11111111 11111111 11111111 11111111 11111111 11011111 10111111  18446744073709551615

    Pairs of integers
Array           Decoded         Len      Hex        Bin             
[0, 0]          [0, 0]          2        80 80      10000000 10000000
[55, 10]        [55, 10]        2        b7 8a      10110111 10001010
[210, 20]       [210, 20]       3        c0 92 94   11000000 10010010 10010100
[465, 30]       [465, 30]       3        c1 91 9e   11000001 10010001 10011110
[820, 40]       [820, 40]       3        c2 f4 a8   11000010 11110100 10101000
[1275, 50]      [1275, 50]      3        c4 bb b2   11000100 10111011 10110010
[1830, 60]      [1830, 60]      3        c6 e6 bc   11000110 11100110 10111100
[2485, 70]      [2485, 70]      4        c9 75 c0 06 11001001 01110101 11000000 00000110
