
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
990        bc 0e                10111100 00001110    990                 
1000       d0 0e                11010000 00001110    1000                

    Unsigned integers (exponent)
Number     Hex                                      Bin                                                               Decoded
1          01                                       00000001                                                          1
2          02                                       00000010                                                          2
4          04                                       00000100                                                          4
8          08                                       00001000                                                          8
16         10                                       00010000                                                          16
32         20                                       00100000                                                          32
64         40                                       01000000                                                          64
128        80 00                                    10000000 00000000                                                 128
256        80 01                                    10000000 00000001                                                 256
512        80 03                                    10000000 00000011                                                 512
1024       80 07                                    10000000 00000111                                                 1024
2048       80 0f                                    10000000 00001111                                                 2048
4096       80 1f                                    10000000 00011111                                                 4096
8192       80 3f                                    10000000 00111111                                                 8192
16384      80 7f                                    10000000 01111111                                                 16384
32768      80 ff 00                                 10000000 11111111 00000000                                        32768
65536      80 ff 02                                 10000000 11111111 00000010                                        65536
131072     80 ff 06                                 10000000 11111111 00000110                                        131072
262144     80 ff 0e                                 10000000 11111111 00001110                                        262144
524288     80 ff 1e                                 10000000 11111111 00011110                                        524288
1048576    80 ff 3e                                 10000000 11111111 00111110                                        1048576
2097152    80 ff 7e                                 10000000 11111111 01111110                                        2097152
4194304    80 ff fe 00                              10000000 11111111 11111110 00000000                               4194304
8388608    80 ff fe 02                              10000000 11111111 11111110 00000010                               8388608
16777216   80 ff fe 06                              10000000 11111111 11111110 00000110                               16777216
33554432   80 ff fe 0e                              10000000 11111111 11111110 00001110                               33554432
67108864   80 ff fe 1e                              10000000 11111111 11111110 00011110                               67108864
134217728  80 ff fe 3e                              10000000 11111111 11111110 00111110                               134217728
268435456  80 ff fe 7e                              10000000 11111111 11111110 01111110                               268435456
536870912  80 ff fe fe 00                           10000000 11111111 11111110 11111110 00000000                      536870912
1073741824 80 ff fe fe 02                           10000000 11111111 11111110 11111110 00000010                      1073741824
2147483648 80 ff fe fe 06                           10000000 11111111 11111110 11111110 00000110                      2147483648
4294967296 80 ff fe fe 0e                           10000000 11111111 11111110 11111110 00001110                      4294967296
8589934592 80 ff fe fe 1e                           10000000 11111111 11111110 11111110 00011110                      8589934592
17179869184 80 ff fe fe 3e                           10000000 11111111 11111110 11111110 00111110                      17179869184
34359738368 80 ff fe fe 7e                           10000000 11111111 11111110 11111110 01111110                      34359738368
68719476736 80 ff fe fe fe 00                        10000000 11111111 11111110 11111110 11111110 00000000             68719476736
137438953472 80 ff fe fe fe 02                        10000000 11111111 11111110 11111110 11111110 00000010             137438953472
274877906944 80 ff fe fe fe 06                        10000000 11111111 11111110 11111110 11111110 00000110             274877906944
549755813888 80 ff fe fe fe 0e                        10000000 11111111 11111110 11111110 11111110 00001110             549755813888
1099511627776 80 ff fe fe fe 1e                        10000000 11111111 11111110 11111110 11111110 00011110             1099511627776
2199023255552 80 ff fe fe fe 3e                        10000000 11111111 11111110 11111110 11111110 00111110             2199023255552
4398046511104 80 ff fe fe fe 7e                        10000000 11111111 11111110 11111110 11111110 01111110             4398046511104
8796093022208 80 ff fe fe fe fe 00                     10000000 11111111 11111110 11111110 11111110 11111110 00000000    8796093022208
17592186044416 80 ff fe fe fe fe 02                     10000000 11111111 11111110 11111110 11111110 11111110 00000010    17592186044416
35184372088832 80 ff fe fe fe fe 06                     10000000 11111111 11111110 11111110 11111110 11111110 00000110    35184372088832
70368744177664 80 ff fe fe fe fe 0e                     10000000 11111111 11111110 11111110 11111110 11111110 00001110    70368744177664
140737488355328 80 ff fe fe fe fe 1e                     10000000 11111111 11111110 11111110 11111110 11111110 00011110    140737488355328
281474976710656 80 ff fe fe fe fe 3e                     10000000 11111111 11111110 11111110 11111110 11111110 00111110    281474976710656
562949953421312 80 ff fe fe fe fe 7e                     10000000 11111111 11111110 11111110 11111110 11111110 01111110    562949953421312
1125899906842624 80 ff fe fe fe fe fe 00                  10000000 11111111 11111110 11111110 11111110 11111110 11111110 00000000  1125899906842624
2251799813685248 80 ff fe fe fe fe fe 02                  10000000 11111111 11111110 11111110 11111110 11111110 11111110 00000010  2251799813685248
4503599627370496 80 ff fe fe fe fe fe 06                  10000000 11111111 11111110 11111110 11111110 11111110 11111110 00000110  4503599627370496
9007199254740992 80 ff fe fe fe fe fe 0e                  10000000 11111111 11111110 11111110 11111110 11111110 11111110 00001110  9007199254740992
18014398509481984 80 ff fe fe fe fe fe 1e                  10000000 11111111 11111110 11111110 11111110 11111110 11111110 00011110  18014398509481984
36028797018963968 80 ff fe fe fe fe fe 3e                  10000000 11111111 11111110 11111110 11111110 11111110 11111110 00111110  36028797018963968
72057594037927936 80 ff fe fe fe fe fe 7e                  10000000 11111111 11111110 11111110 11111110 11111110 11111110 01111110  72057594037927936
144115188075855872 80 ff fe fe fe fe fe fe 00               10000000 11111111 11111110 11111110 11111110 11111110 11111110 11111110 00000000  144115188075855872
288230376151711744 80 ff fe fe fe fe fe fe 02               10000000 11111111 11111110 11111110 11111110 11111110 11111110 11111110 00000010  288230376151711744
576460752303423488 80 ff fe fe fe fe fe fe 06               10000000 11111111 11111110 11111110 11111110 11111110 11111110 11111110 00000110  576460752303423488
1152921504606846976 80 ff fe fe fe fe fe fe 0e               10000000 11111111 11111110 11111110 11111110 11111110 11111110 11111110 00001110  1152921504606846976
2305843009213693952 80 ff fe fe fe fe fe fe 1e               10000000 11111111 11111110 11111110 11111110 11111110 11111110 11111110 00011110  2305843009213693952
4611686018427387904 80 ff fe fe fe fe fe fe 3e               10000000 11111111 11111110 11111110 11111110 11111110 11111110 11111110 00111110  4611686018427387904
9223372036854775808 80 ff fe fe fe fe fe fe 7e               10000000 11111111 11111110 11111110 11111110 11111110 11111110 11111110 01111110  9223372036854775808
18446744073709551615 ff fe fe fe fe fe fe fe fe 00            11111111 11111110 11111110 11111110 11111110 11111110 11111110 11111110 11111110 00000000  18446744073709551615

    Pairs of integers
Array           Decoded         Len      Hex        Bin             
[0, 0]          [0, 0]          2        00 00      00000000 00000000
[55, 10]        [55, 10]        2        37 0a      00110111 00001010
