
    Unsigned integers (first 300)
Number     Hex                  Bin                             Decoded
-68        fc 01                11111100 00000001    -68
-67        ec 01                11101100 00000001    -67
-66        dc 01                11011100 00000001    -66
-65        cc 01                11001100 00000001    -65
-64        bc 01                10111100 00000001    -64
-63        ac 01                10101100 00000001    -63
-62        9c 01                10011100 00000001    -62
-61        8c 01                10001100 00000001    -61
-60        7c 01                01111100 00000001    -60
-59        6c 01                01101100 00000001    -59
-58        5c 01                01011100 00000001    -58
-57        4c 01                01001100 00000001    -57
-56        3c 01                00111100 00000001    -56
-55        2c 01                00101100 00000001    -55
-54        1c 01                00011100 00000001    -54
-53        0c 01                00001100 00000001    -53
-52        fc 00                11111100 00000000    -52
-51        ec 00                11101100 00000000    -51
-50        dc 00                11011100 00000000    -50
-49        cc 00                11001100 00000000    -49
-48        bc 00                10111100 00000000    -48
-47        ac 00                10101100 00000000    -47
-46        9c 00                10011100 00000000    -46
-45        8c 00                10001100 00000000    -45
-44        7c 00                01111100 00000000    -44
-43        6c 00                01101100 00000000    -43
-42        5c 00                01011100 00000000    -42
-41        4c 00                01001100 00000000    -41
-40        3c 00                00111100 00000000    -40
-39        2c 00                00101100 00000000    -39
-38        1c 00                00011100 00000000    -38
-37        0c 00                00001100 00000000    -37
-36        fe                   11111110             -36
-35        f6                   11110110             -35
-34        ee                   11101110             -34
-33        e6                   11100110             -33
-32        de                   11011110             -32
-31        d6                   11010110             -31
-30        ce                   11001110             -30
-29        c6                   11000110             -29
-28        be                   10111110             -28
-27        b6                   10110110             -27
-26        ae                   10101110             -26
-25        a6                   10100110             -25
-24        9e                   10011110             -24
-23        96                   10010110             -23
-22        8e                   10001110             -22
-21        86                   10000110             -21
-20        7e                   01111110             -20
-19        76                   01110110             -19
-18        6e                   01101110             -18
-17        66                   01100110             -17
-16        5e                   01011110             -16
-15        56                   01010110             -15
-14        4e                   01001110             -14
-13        46                   01000110             -13
-12        3e                   00111110             -12
-11        36                   00110110             -11
-10        2e                   00101110             -10
-9         26                   00100110             -9
-8         1e                   00011110             -8
-7         16                   00010110             -7
-6         0e                   00001110             -6
-5         06                   00000110             -5
-4         0f                   00001111             -4
-3         0b                   00001011             -3
-2         07                   00000111             -2
-1         03                   00000011             -1
0          01                   00000001             0
1          05                   00000101             1
2          09                   00001001             2
3          0d                   00001101             3
4          02                   00000010             4
5          0a                   00001010             5
6          12                   00010010             6
7          1a                   00011010             7
8          22                   00100010             8
9          2a                   00101010             9
10         32                   00110010             10
11         3a                   00111010             11
12         42                   01000010             12
13         4a                   01001010             13
14         52                   01010010             14
15         5a                   01011010             15
16         62                   01100010             16
17         6a                   01101010             17
18         72                   01110010             18
19         7a                   01111010             19
20         82                   10000010             20
21         8a                   10001010             21
22         92                   10010010             22
23         9a                   10011010             23
24         a2                   10100010             24
25         aa                   10101010             25
26         b2                   10110010             26
27         ba                   10111010             27
28         c2                   11000010             28
29         ca                   11001010             29
30         d2                   11010010             30
31         da                   11011010             31
32         e2                   11100010             32
33         ea                   11101010             33
34         f2                   11110010             34
35         fa                   11111010             35
36         04 00                00000100 00000000    36
37         14 00                00010100 00000000    37
38         24 00                00100100 00000000    38
39         34 00                00110100 00000000    39
40         44 00                01000100 00000000    40
41         54 00                01010100 00000000    41
42         64 00                01100100 00000000    42
43         74 00                01110100 00000000    43
44         84 00                10000100 00000000    44
45         94 00                10010100 00000000    45
46         a4 00                10100100 00000000    46
47         b4 00                10110100 00000000    47
48         c4 00                11000100 00000000    48
49         d4 00                11010100 00000000    49
50         e4 00                11100100 00000000    50
51         f4 00                11110100 00000000    51
52         04 01                00000100 00000001    52
53         14 01                00010100 00000001    53
54         24 01                00100100 00000001    54
55         34 01                00110100 00000001    55
56         44 01                01000100 00000001    56
57         54 01                01010100 00000001    57
58         64 01                01100100 00000001    58
59         74 01                01110100 00000001    59
60         84 01                10000100 00000001    60
61         94 01                10010100 00000001    61
62         a4 01                10100100 00000001    62
63         b4 01                10110100 00000001    63
64         c4 01                11000100 00000001    64
65         d4 01                11010100 00000001    65
66         e4 01                11100100 00000001    66
67         f4 01                11110100 00000001    67
68         04 02                00000100 00000010    68
69         14 02                00010100 00000010    69
70         24 02                00100100 00000010    70
71         34 02                00110100 00000010    71
72         44 02                01000100 00000010    72
73         54 02                01010100 00000010    73
74         64 02                01100100 00000010    74
75         74 02                01110100 00000010    75
76         84 02                10000100 00000010    76
77         94 02                10010100 00000010    77
78         a4 02                10100100 00000010    78
